Iteration,Metric,Min,Avg,Std,Max
0,Q1,0.030662002775439696,0.052728332535998755,0.012668629419553342,0.07675954451920212
0,Q2,0.023151191637365492,0.05416682623895712,0.017230765979505843,0.0823055875182135
0,Q3,0.03856544334869754,0.07000199919033648,0.014881283027018157,0.10066027792458597
0,Q4,0.08899571981276178,0.13305203167294716,0.018029085062962812,0.17554862796567497
0,Q5,0.29119334258938395,0.3617379805905117,0.03868339373533277,0.4338538763403579
0,Business,0.4954152,0.49583760000000004,0.00023924130078228353,0.4962552
0,Government,0.10250670266666659,0.1026155808666666,3.7095795938566585e-05,0.10267781999999993
0,Susceptible,0.95,0.9713333333333333,0.008192137151629687,0.98
0,Infected,0.01,0.018666666666666665,0.008192137151629673,0.04
0,Recovered_Immune,0.01,0.010000000000000002,1.734723475976807e-18,0.01
0,Death,0.0,0.0,0.0,0.0
0,Asymptomatic,0.99,0.9919999999999998,0.0019436506316150939,0.9966666666666667
0,Symptomatic,0.0033333333333333335,0.007666666666666666,0.0021343747458109495,0.01
0,Severe,0.0,0.0003333333333333334,0.001,0.0033333333333333335
1,Q1,0.030662002775439696,0.052728332535998755,0.012668629419553342,0.07675954451920212
1,Q2,0.023151191637365492,0.05416682623895712,0.017230765979505843,0.0823055875182135
1,Q3,0.03856544334869754,0.07000199919033648,0.014881283027018157,0.10066027792458597
1,Q4,0.08899571981276178,0.13305203167294716,0.018029085062962812,0.17554862796567497
1,Q5,0.29119334258938395,0.3617379805905117,0.03868339373533277,0.4338538763403579
1,Business,0.4954152,0.49583760000000004,0.00023924130078228353,0.4962552
1,Government,0.10250670266666659,0.1026155808666666,3.7095795938566585e-05,0.10267781999999993
1,Susceptible,0.95,0.9713333333333333,0.008192137151629687,0.98
1,Infected,0.01,0.018666666666666665,0.008192137151629673,0.04
1,Recovered_Immune,0.01,0.010000000000000002,1.734723475976807e-18,0.01
1,Death,0.0,0.0,0.0,0.0
1,Asymptomatic,0.99,0.9919999999999998,0.0019436506316150939,0.9966666666666667
1,Symptomatic,0.0033333333333333335,0.007666666666666666,0.0021343747458109495,0.01
1,Severe,0.0,0.0003333333333333334,0.001,0.0033333333333333335
2,Q1,0.030662002775439696,0.052728332535998755,0.012668629419553342,0.07675954451920212
2,Q2,0.023151191637365492,0.05416682623895712,0.017230765979505843,0.0823055875182135
2,Q3,0.03856544334869754,0.07000199919033648,0.014881283027018157,0.10066027792458597
2,Q4,0.08899571981276178,0.13305203167294716,0.018029085062962812,0.17554862796567497
2,Q5,0.29119334258938395,0.3617379805905117,0.03868339373533277,0.4338538763403579
2,Business,0.4954152,0.49583760000000004,0.00023924130078228353,0.4962552
2,Government,0.10250670266666659,0.1026155808666666,3.7095795938566585e-05,0.10267781999999993
2,Susceptible,0.95,0.9713333333333333,0.008192137151629687,0.98
2,Infected,0.01,0.018666666666666665,0.008192137151629673,0.04
2,Recovered_Immune,0.01,0.010000000000000002,1.734723475976807e-18,0.01
2,Death,0.0,0.0,0.0,0.0
2,Asymptomatic,0.99,0.9919999999999998,0.0019436506316150939,0.9966666666666667
2,Symptomatic,0.0033333333333333335,0.007666666666666666,0.0021343747458109495,0.01
2,Severe,0.0,0.0003333333333333334,0.001,0.0033333333333333335
3,Q1,0.030662002775439696,0.052728332535998755,0.012668629419553342,0.07675954451920212
3,Q2,0.023151191637365492,0.05416682623895712,0.017230765979505843,0.0823055875182135
3,Q3,0.03856544334869754,0.07000199919033648,0.014881283027018157,0.10066027792458597
3,Q4,0.08899571981276178,0.13305203167294716,0.018029085062962812,0.17554862796567497
3,Q5,0.29119334258938395,0.3617379805905117,0.03868339373533277,0.4338538763403579
3,Business,0.4954152,0.49583760000000004,0.00023924130078228353,0.4962552
3,Government,0.10250670266666659,0.1026155808666666,3.7095795938566585e-05,0.10267781999999993
3,Susceptible,0.95,0.9713333333333333,0.008192137151629687,0.98
3,Infected,0.01,0.018666666666666665,0.008192137151629673,0.04
3,Recovered_Immune,0.01,0.010000000000000002,1.734723475976807e-18,0.01
3,Death,0.0,0.0,0.0,0.0
3,Asymptomatic,0.99,0.9919999999999998,0.0019436506316150939,0.9966666666666667
3,Symptomatic,0.0033333333333333335,0.007666666666666666,0.0021343747458109495,0.01
3,Severe,0.0,0.0003333333333333334,0.001,0.0033333333333333335
4,Q1,0.030662002775439696,0.052728332535998755,0.012668629419553342,0.07675954451920212
4,Q2,0.023151191637365492,0.05416682623895712,0.017230765979505843,0.0823055875182135
4,Q3,0.03856544334869754,0.07000199919033648,0.014881283027018157,0.10066027792458597
4,Q4,0.08899571981276178,0.13305203167294716,0.018029085062962812,0.17554862796567497
4,Q5,0.29119334258938395,0.3617379805905117,0.03868339373533277,0.4338538763403579
4,Business,0.4954152,0.49583760000000004,0.00023924130078228353,0.4962552
4,Government,0.10250670266666659,0.1026155808666666,3.7095795938566585e-05,0.10267781999999993
4,Susceptible,0.95,0.9713333333333333,0.008192137151629687,0.98
4,Infected,0.01,0.018666666666666665,0.008192137151629673,0.04
4,Recovered_Immune,0.01,0.010000000000000002,1.734723475976807e-18,0.01
4,Death,0.0,0.0,0.0,0.0
4,Asymptomatic,0.99,0.9919999999999998,0.0019436506316150939,0.9966666666666667
4,Symptomatic,0.0033333333333333335,0.007666666666666666,0.0021343747458109495,0.01
4,Severe,0.0,0.0003333333333333334,0.001,0.0033333333333333335
5,Q1,0.030662002775439696,0.052728332535998755,0.012668629419553342,0.07675954451920212
5,Q2,0.023151191637365492,0.05416682623895712,0.017230765979505843,0.0823055875182135
5,Q3,0.03856544334869754,0.07000199919033648,0.014881283027018157,0.10066027792458597
5,Q4,0.08899571981276178,0.13305203167294716,0.018029085062962812,0.17554862796567497
5,Q5,0.29119334258938395,0.3617379805905117,0.03868339373533277,0.4338538763403579
5,Business,0.4954152,0.49583760000000004,0.00023924130078228353,0.4962552
5,Government,0.10250670266666659,0.1026155808666666,3.7095795938566585e-05,0.10267781999999993
5,Susceptible,0.95,0.9713333333333333,0.008192137151629687,0.98
5,Infected,0.01,0.018666666666666665,0.008192137151629673,0.04
5,Recovered_Immune,0.01,0.010000000000000002,1.734723475976807e-18,0.01
5,Death,0.0,0.0,0.0,0.0
5,Asymptomatic,0.99,0.9919999999999998,0.0019436506316150939,0.9966666666666667
5,Symptomatic,0.0033333333333333335,0.007666666666666666,0.0021343747458109495,0.01
